LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,Foundation,TotalBsmtSF,CentralAir,Electrical,GrLivArea,BedroomAbvGr,YrSold,SaleType,SaleCondition,SalePrice
13101,NAmes,Duplex,1Story,5,Cinder Block,1728,Yes,SBrkr,1728,6,2008,Warranty Deed,Normal,142600
13072,SawyerW,Single Family,1Story,6,Poured Concrete ,1158,Yes,SBrkr,1158,3,2006,New,Partial,158000
13072,SawyerW,Single Family,1Story,6,Poured Concrete ,1141,Yes,SBrkr,1141,3,2006,Warranty Deed,Force Closure,142500
13053,Brookside,Single Family,1.5Fin,6,Brick and Tile,833,Yes,SBrkr,1848,4,2008,Warranty Deed,Normal,207000
13031,Gilbert,Single Family,2Story,6,Poured Concrete ,691,Yes,SBrkr,1498,3,2006,Warranty Deed,Normal,187500
13006,Gilbert,Single Family,2Story,7,Poured Concrete ,964,Yes,SBrkr,2236,4,2006,Warranty Deed,Normal,222000
13005,NWAmes,Single Family,2Story,7,Cinder Block,845,Yes,SBrkr,2353,4,2009,Warranty Deed,Normal,260000
13000,NAmes,Single Family,2Story,6,Cinder Block,896,Yes,SBrkr,2142,4,2009,Warranty Deed,Normal,193500
12984,Crawfor,Single Family,1Story,5,Cinder Block,1430,Yes,SBrkr,1647,3,2006,Warranty Deed,Normal,217500
12968,Sawyer,Single Family,1Story,5,Cinder Block,912,Yes,SBrkr,912,2,2008,Warranty Deed,Normal,144000
12936,NWAmes,Single Family,2Story,6,Cinder Block,723,Yes,SBrkr,1395,3,2009,Warranty Deed,Normal,162000
12925,NAmes,Single Family,1Story,6,Cinder Block,1205,Yes,SBrkr,2117,4,2008,Warranty Deed,Normal,237500
12919,NridgHt,Single Family,1Story,9,Poured Concrete ,2330,Yes,SBrkr,2364,2,2010,New,Partial,611657
12900,Sawyer,Duplex,SFoyer,4,Cinder Block,1198,Yes,SBrkr,1258,0,2008,Warranty Deed,Within Family,108959
12898,Timber,Single Family,1Story,9,Poured Concrete ,1620,Yes,SBrkr,1620,2,2009,Warranty Deed,Normal,315500
12886,Sawyer,Single Family,SFlat,5,Cinder Block,520,Yes,SBrkr,1464,3,2009,Warranty Deed,Normal,175000
12822,Mitchel,Single Family,1.5Fin,7,Poured Concrete ,1434,Yes,SBrkr,2149,1,2009,Warranty Deed,Force Closure,239686
12803,CollgCr,Single Family,1Story,7,Poured Concrete ,1494,Yes,SBrkr,1494,3,2008,Warranty Deed,Normal,221000
12800,SawyerW,Single Family,SFlat,7,Poured Concrete ,1518,Yes,SBrkr,1644,2,2009,Warranty Deed,Normal,275000
12798,Clear Creek,Single Family,2Story,6,Poured Concrete ,616,Yes,SBrkr,1688,4,2008,Warranty Deed,Normal,200000
12772,NAmes,Single Family,1Story,6,Cinder Block,958,Yes,SBrkr,958,2,2007,Warranty Deed,Normal,151500
12735,NAmes,Single Family,1Story,4,Cinder Block,864,Yes,SBrkr,864,3,2008,Contract,Normal,111250
12704,NridgHt,Single Family,1Story,8,Poured Concrete ,2042,Yes,SBrkr,2042,3,2009,New,Partial,253293
12702,OldTown,Single Family,1Story,5,Poured Concrete ,0,Yes,FuseA,882,2,2008,Warranty Deed,Normal,97000
12692,NoRidge,Single Family,1Story,8,Poured Concrete ,3200,Yes,SBrkr,3228,4,2007,Warranty Deed,Normal,430000
12677,NridgHt,Townhouse,1Story,8,Poured Concrete ,1518,Yes,SBrkr,1518,1,2008,Warranty Deed,Normal,274000
12665,OldTown,Single Family,1.5Fin,5,Brick and Tile,876,Yes,SBrkr,1416,4,2008,Warranty Deed,Normal,153900
12665,Timber,Single Family,2Story,8,Poured Concrete ,1094,Yes,SBrkr,2482,4,2007,Warranty Deed,Normal,281213
12640,Mitchel,Duplex,1Story,6,Cinder Block,1728,Yes,SBrkr,1728,4,2006,Warranty Deed,Normal,150900
12615,Edwards,Single Family,1Story,6,Cinder Block,1202,Yes,SBrkr,2158,4,2007,Warranty Deed,Normal,243000
12589,Gilbert,Single Family,2Story,6,Poured Concrete ,742,Yes,SBrkr,1484,3,2009,Warranty Deed,Normal,174000
12552,Somerst,Single Family,2Story,7,Poured Concrete ,991,Yes,SBrkr,1947,3,2010,Warranty Deed,Normal,254900
12546,NWAmes,Single Family,1Story,6,Cinder Block,1440,Yes,SBrkr,1440,3,2007,Warranty Deed,Normal,182900
12537,NAmes,Single Family,1Story,5,Cinder Block,1078,Yes,SBrkr,1078,3,2010,Warranty Deed,Normal,149900
12513,NAmes,Single Family,1.5Fin,4,Brick and Tile,715,Yes,SBrkr,1738,4,2009,Warranty Deed,Normal,104900
12508,Mitchel,Single Family,1.5Fin,6,Cinder Block,983,Yes,SBrkr,1750,4,2008,Warranty Deed,Normal,160000
12493,NAmes,Single Family,1Story,4,Poured Concrete ,1100,Yes,SBrkr,1100,3,2008,Warranty Deed,Normal,141000
12474,NridgHt,Single Family,2Story,10,Poured Concrete ,1682,Yes,SBrkr,2332,3,2008,New,Partial,426000
12464,CollgCr,Single Family,1Story,5,Poured Concrete ,1040,Yes,SBrkr,1040,3,2009,Warranty Deed,Normal,152000
12461,NoRidge,Single Family,1Story,8,Poured Concrete ,1624,Yes,SBrkr,1624,2,2006,Warranty Deed,Normal,262000
12456,NridgHt,Single Family,1Story,10,Poured Concrete ,1700,Yes,SBrkr,1718,3,2009,Warranty Deed,Normal,337500
12444,NridgHt,Single Family,1Story,8,Poured Concrete ,1932,Yes,SBrkr,1932,2,2008,New,Partial,394617
12438,Stony Brook,Single Family,2Story,8,Poured Concrete ,1234,Yes,SBrkr,2576,4,2006,New,Partial,361919
12435,CollgCr,Single Family,2Story,7,Poured Concrete ,963,Yes,SBrkr,1792,3,2008,Warranty Deed,Normal,231500
12420,CollgCr,Single Family,2Story,7,Poured Concrete ,944,Yes,SBrkr,1840,3,2009,Warranty Deed,Normal,230000
12416,Timber,Single Family,1Story,6,Cinder Block,1606,Yes,SBrkr,1651,3,2008,Warranty Deed,Normal,184000
12400,NAmes,Single Family,1Story,6,Cinder Block,1215,Yes,FuseA,1215,3,2009,Warranty Deed,Normal,155000
12394,Gilbert,Single Family,2Story,7,Poured Concrete ,847,Yes,SBrkr,1733,3,2007,Warranty Deed,Within Family,225000
12393,CollgCr,Single Family,2Story,7,Poured Concrete ,847,Yes,SBrkr,1948,4,2006,Warranty Deed,Normal,195000
12384,NWAmes,Single Family,2Story,7,Cinder Block,793,Yes,SBrkr,1935,3,2007,Warranty Deed,Normal,197900
12378,NridgHt,Single Family,1Story,9,Poured Concrete ,1896,Yes,SBrkr,1944,3,2006,Warranty Deed,Normal,360000
12376,SawyerW,Single Family,2Story,7,Poured Concrete ,1673,Yes,SBrkr,3222,5,2010,Warranty Deed,Normal,320000
12358,OldTown,Single Family,1.5Fin,5,Cinder Block,720,Yes,SBrkr,1382,2,2007,Warranty Deed,Normal,128500
12342,Edwards,Single Family,1Story,4,Cinder Block,861,Yes,SBrkr,861,1,2009,Warranty Deed,Normal,82500
12342,NAmes,Single Family,1Story,5,Cinder Block,978,Yes,SBrkr,1422,3,2007,Warranty Deed,Normal,139900
12328,Mitchel,Single Family,SFlat,6,Cinder Block,1012,Yes,SBrkr,1034,3,2010,Warranty Deed,Normal,169900
12327,SawyerW,Single Family,1.5Fin,8,Cinder Block,1496,Yes,SBrkr,2132,1,2009,Warranty Deed,Normal,316600
12274,Somerst,Single Family,1Story,7,Poured Concrete ,1417,Yes,SBrkr,1428,3,2008,New,Partial,227680
12257,NoRidge,Single Family,2Story,8,Poured Concrete ,1318,Yes,SBrkr,2531,4,2007,Warranty Deed,Normal,290000
12256,NoRidge,Single Family,2Story,8,Poured Concrete ,1463,Yes,SBrkr,2622,3,2010,Warranty Deed,Normal,325000
12244,Timber,Single Family,2Story,8,Poured Concrete ,1482,Yes,SBrkr,2262,4,2008,Warranty Deed,Normal,305000
12243,NWAmes,Single Family,1Story,5,Cinder Block,1484,Yes,SBrkr,1484,3,2007,Warranty Deed,Normal,175000
12227,NWAmes,Single Family,2Story,6,Cinder Block,1330,Yes,SBrkr,2872,4,2008,Warranty Deed,Normal,272000
12224,Gilbert,Single Family,2Story,6,Poured Concrete ,992,Yes,SBrkr,2054,3,2009,Warranty Deed,Normal,244000
12220,NridgHt,Single Family,1Story,10,Cinder Block,2006,Yes,SBrkr,2020,3,2009,New,Partial,402861
12209,Mitchel,Single Family,2Story,6,Poured Concrete ,804,Yes,SBrkr,1961,3,2009,Warranty Deed,Normal,215000
12205,Clear Creek,Single Family,2Story,6,Cinder Block,832,Yes,SBrkr,2087,5,2007,Warranty Deed,Normal,187500
12203,NoRidge,Single Family,2Story,8,Poured Concrete ,1225,Yes,SBrkr,2612,4,2009,Warranty Deed,Normal,336000
12182,NridgHt,Single Family,1Story,7,Poured Concrete ,1541,Yes,SBrkr,1541,3,2010,New,Partial,220000
12180,Edwards,Two Family,1.5Fin,4,Brick and Tile,672,No,FuseA,924,2,2010,Warranty Deed,Normal,80000
12168,Crawfor,Single Family,2Story,8,Poured Concrete ,965,Yes,SBrkr,3194,4,2007,Warranty Deed,Within Family,359100
12160,NAmes,Single Family,1Story,6,Cinder Block,1505,Yes,SBrkr,1505,2,2009,Warranty Deed,Normal,149500
12160,NAmes,Single Family,1Story,5,Cinder Block,1188,Yes,SBrkr,1188,3,2010,Contract,Force Closure,142000
12155,SWISU,Single Family,2Story,6,Brick and Tile,672,No,SBrkr,1482,4,2008,Warranty Deed,Normal,140000
12155,NAmes,Single Family,1Story,6,Cinder Block,1657,Yes,SBrkr,1657,3,2007,Warranty Deed,Normal,163500
12150,OldTown,Single Family,1.5Fin,5,Brick and Tile,1050,No,FuseF,1795,4,2008,Warranty Deed,Normal,131500
12144,NAmes,Single Family,1Story,5,Cinder Block,832,Yes,SBrkr,1268,3,2009,Warranty Deed,Normal,133000
12137,CollgCr,Single Family,1Story,7,Poured Concrete ,1649,Yes,SBrkr,1661,3,2010,Warranty Deed,Normal,224900
12134,Gilbert,Single Family,1.5Fin,8,Wood,559,Yes,SBrkr,1752,4,2010,Warranty Deed,Normal,164000
12122,NAmes,Single Family,SFoyer,7,Cinder Block,944,Yes,SBrkr,999,3,2008,Warranty Deed,Normal,178400
12118,Mitchel,Single Family,1Story,7,Poured Concrete ,1710,Yes,SBrkr,1710,3,2009,Warranty Deed,Normal,240000
12108,Edwards,Duplex,1Story,4,Cinder Block,1440,No,FuseF,1440,4,2008,Warranty Deed,Normal,118000
12099,NridgHt,Single Family,2Story,8,Poured Concrete ,1136,Yes,SBrkr,2468,4,2007,Warranty Deed,Normal,354000
12095,NAmes,Single Family,SFlat,6,Cinder Block,1127,Yes,SBrkr,1445,3,2009,Warranty Deed,Normal,158000
12090,NWAmes,Single Family,1Story,6,Cinder Block,1422,Yes,SBrkr,1422,3,2008,Warranty Deed,Normal,175500
12090,NoRidge,Single Family,2Story,8,Poured Concrete ,1141,Yes,SBrkr,2263,4,2006,Warranty Deed,Force Closure,258000
12090,NWAmes,Single Family,SFlat,6,Cinder Block,585,Yes,SBrkr,1868,3,2007,Warranty Deed,Force Closure,178000
12085,NridgHt,Single Family,1Story,8,Poured Concrete ,1734,Yes,SBrkr,1734,3,2007,New,Partial,318000
12046,NWAmes,Single Family,2Story,6,Cinder Block,848,Yes,SBrkr,2030,4,2007,Warranty Deed,Normal,195000
12030,NridgHt,Single Family,1Story,8,Poured Concrete ,1694,Yes,SBrkr,1694,3,2007,New,Partial,318000
12011,NoRidge,Single Family,2Story,8,Poured Concrete ,1086,Yes,SBrkr,1924,3,2006,Warranty Deed,Normal,280000
12003,Timber,Single Family,2Story,8,Poured Concrete ,774,Yes,SBrkr,1968,4,2010,New,Partial,269500
12000,Crawfor,Single Family,2Story,7,Cinder Block,704,Yes,SBrkr,1564,3,2009,Warranty Deed,Normal,174500
12000,OldTown,Single Family,1Story,5,Cinder Block,924,Yes,SBrkr,1122,2,2008,Warranty Deed,Normal,147000
11999,NridgHt,Single Family,2Story,8,Poured Concrete ,1181,Yes,SBrkr,2374,4,2007,Warranty Deed,Normal,285000
11988,Crawfor,Single Family,2Story,6,Cinder Block,715,Yes,FuseA,1660,3,2008,Warranty Deed,Normal,188700
11988,NAmes,Single Family,1Story,6,Cinder Block,1244,Yes,FuseA,1244,3,2007,Warranty Deed,Normal,150000
11957,Somerst,Single Family,1Story,8,Poured Concrete ,1574,Yes,SBrkr,1574,3,2008,Warranty Deed,Normal,232000
11952,NWAmes,Single Family,2Story,7,Cinder Block,808,Yes,SBrkr,1969,3,2007,Warranty Deed,Normal,190000
11932,Somerst,Single Family,1Story,8,Poured Concrete ,1580,Yes,SBrkr,1580,3,2008,Contract Low Down,Partial,235128
11924,NridgHt,Single Family,2Story,9,Poured Concrete ,1175,Yes,SBrkr,2324,4,2006,New,Partial,345000
11923,CollgCr,Single Family,1Story,9,Poured Concrete ,1800,Yes,SBrkr,1800,2,2009,Warranty Deed,Normal,239000
11911,Gilbert,Single Family,2Story,6,Poured Concrete ,684,Yes,SBrkr,1560,3,2009,Warranty Deed,Normal,174000
11900,NWAmes,Single Family,1Story,7,Cinder Block,1386,Yes,SBrkr,1411,3,2009,Warranty Deed,Within Family,82500
11900,NAmes,Single Family,1Story,6,Cinder Block,1392,Yes,FuseA,1392,3,2008,Warranty Deed,Normal,166000
11888,Brookside,Single Family,2.5Unf,6,Brick and Tile,844,No,FuseA,2134,5,2009,Warranty Deed,Normal,214500
11885,CollgCr,Single Family,2Story,8,Poured Concrete ,1299,Yes,SBrkr,1872,3,2009,Warranty Deed,Normal,261500
11883,CollgCr,Single Family,1Story,7,Poured Concrete ,1504,Yes,SBrkr,1504,3,2009,Warranty Deed,Normal,203000
11880,NWAmes,Single Family,1Story,7,Cinder Block,1271,Yes,SBrkr,1601,3,2009,Contract,Force Closure,157000
11851,Gilbert,Single Family,1Story,7,Poured Concrete ,1424,Yes,SBrkr,1442,3,2009,Warranty Deed,Normal,180500
11846,NridgHt,Single Family,1Story,9,Poured Concrete ,1792,Yes,SBrkr,1792,2,2006,Warranty Deed,Normal,374000
11844,Stony Brook,Single Family,1Story,8,Poured Concrete ,2046,Yes,SBrkr,2046,3,2009,New,Partial,372500
11841,Edwards,Duplex,SFoyer,6,Cinder Block,816,Yes,SBrkr,816,3,2007,Warranty Deed,Normal,118500
11839,SawyerW,Single Family,2Story,7,Poured Concrete ,1475,Yes,SBrkr,2329,4,2008,Warranty Deed,Normal,262280
11838,CollgCr,Single Family,1Story,8,Poured Concrete ,1753,Yes,SBrkr,1788,3,2009,Warranty Deed,Normal,236500
11796,Gilbert,Single Family,2Story,7,Poured Concrete ,847,Yes,SBrkr,1959,4,2007,Warranty Deed,Normal,215000
11787,NoRidge,Single Family,2Story,7,Poured Concrete ,1379,Yes,SBrkr,2398,3,2007,Warranty Deed,Normal,315750
11782,Sawyer,Single Family,SFoyer,5,Cinder Block,1109,Yes,SBrkr,1155,3,2010,Warranty Deed,Normal,148000
11777,Sawyer,Single Family,SFlat,5,Cinder Block,1164,Yes,SBrkr,1320,3,2006,Warranty Deed,Force Closure,164500
11767,Edwards,Single Family,1.5Fin,5,Cinder Block,768,Yes,SBrkr,1200,3,2008,Warranty Deed,Normal,130500
11767,Edwards,Single Family,2Story,4,Cinder Block,560,No,SBrkr,1346,2,2007,Warranty Deed,Normal,112000
11764,NoRidge,Single Family,2Story,8,Poured Concrete ,1152,Yes,SBrkr,2270,4,2010,Warranty Deed,Normal,290000
11751,NWAmes,Single Family,1Story,6,Cinder Block,1844,Yes,SBrkr,1844,3,2010,Contract,Normal,190000
11717,NWAmes,Single Family,1Story,6,Cinder Block,1442,Yes,SBrkr,1442,2,2009,Warranty Deed,Normal,185000
11700,NWAmes,Single Family,2Story,6,Cinder Block,702,Yes,SBrkr,1743,3,2007,Warranty Deed,Normal,175000
11700,OldTown,Single Family,2Story,7,Stone,1240,No,SBrkr,2640,4,2009,Warranty Deed,Normal,265979
11700,NWAmes,Single Family,2Story,6,Cinder Block,727,Yes,SBrkr,1556,4,2009,Warranty Deed,Normal,154000
11700,NWAmes,Single Family,2Story,6,Cinder Block,708,Yes,SBrkr,1416,3,2006,Warranty Deed,Normal,179900
11694,NridgHt,Single Family,1Story,9,Poured Concrete ,1822,Yes,SBrkr,1828,3,2007,New,Partial,314813
11670,Somerst,Single Family,1Story,9,Poured Concrete ,1905,Yes,SBrkr,1905,3,2007,Warranty Deed,Normal,320000
11664,NAmes,Single Family,1Story,6,Cinder Block,1082,Yes,SBrkr,1082,2,2007,Warranty Deed,Normal,119200
11645,CollgCr,Single Family,2Story,7,Poured Concrete ,860,Yes,SBrkr,1720,3,2006,Warranty Deed,Normal,196500
11645,CollgCr,Single Family,1Story,7,Poured Concrete ,1734,Yes,SBrkr,1734,3,2006,Warranty Deed,Normal,260000
11643,NAmes,Duplex,2Story,5,Cinder Block,1248,Yes,SBrkr,2634,6,2009,Warranty Deed,Normal,200000
11639,Somerst,Single Family,1Story,7,Poured Concrete ,1428,Yes,SBrkr,1428,3,2008,New,Partial,182000
11625,Sawyer,Two Family,1Story,5,Poured Concrete ,1039,Yes,SBrkr,1039,3,2010,Warranty Deed,Normal,131500
11616,Sawyer,Single Family,1Story,5,Cinder Block,1092,Yes,SBrkr,1092,3,2009,Warranty Deed,Normal,139000
11616,Sawyer,Single Family,2Story,6,Cinder Block,672,Yes,SBrkr,1386,3,2010,Warranty Deed,Force Closure,158900
11606,NAmes,Single Family,2Story,5,Poured Concrete ,1040,Yes,SBrkr,2080,5,2007,Warranty Deed,Within Family,135000
11600,NAmes,Single Family,1Story,6,Cinder Block,1383,Yes,SBrkr,1383,3,2006,Warranty Deed,Normal,145250
11600,Crawfor,Single Family,1Story,4,Brick and Tile,700,Yes,SBrkr,1180,2,2006,Warranty Deed,Normal,137500
11600,NAmes,Duplex,2Story,5,Cinder Block,1105,Yes,FuseA,2274,5,2010,Warranty Deed,Normal,154300
11584,NWAmes,Single Family,SFlat,7,Cinder Block,539,Yes,SBrkr,1725,3,2007,Warranty Deed,Normal,197000
11553,Sawyer,Single Family,1Story,5,Cinder Block,1051,Yes,SBrkr,1159,3,2006,Warranty Deed,Normal,158000
11526,Crawfor,Single Family,2.5Fin,6,Brick and Tile,588,Yes,SBrkr,2555,3,2008,Warranty Deed,Normal,191000
11512,Edwards,Single Family,SFlat,6,Cinder Block,1019,Yes,SBrkr,1357,2,2008,Warranty Deed,Normal,177000
11500,Crawfor,Single Family,1.5Fin,7,Cinder Block,1017,Yes,SBrkr,2057,3,2006,Warranty Deed,Normal,250000
11500,NWAmes,Duplex,1Story,5,Cinder Block,1680,Yes,SBrkr,1680,4,2007,Warranty Deed,Normal,136905
11500,Edwards,Single Family,1Story,4,Slab,0,No,SBrkr,845,3,2009,Warranty Deed,Normal,84000
11478,NridgHt,Single Family,1Story,8,Poured Concrete ,1704,Yes,SBrkr,1704,3,2010,Warranty Deed,Normal,306000
11475,NWAmes,Single Family,2Story,6,Cinder Block,713,Yes,SBrkr,1552,3,2006,Warranty Deed,Normal,179900
11475,NAmes,Duplex,1Story,5,Cinder Block,1584,Yes,SBrkr,1776,4,2009,Contract,Force Closure,110000
11457,Timber,Single Family,1Story,6,Cinder Block,1392,Yes,SBrkr,1412,3,2009,Warranty Deed,Normal,175000
11443,Timber,Single Family,1Story,8,Poured Concrete ,1868,Yes,SBrkr,2028,2,2006,New,Partial,369900
11435,Crawfor,Single Family,2Story,8,Poured Concrete ,792,Yes,SBrkr,1517,3,2006,Warranty Deed,Normal,230000
11428,NridgHt,Single Family,1Story,8,Poured Concrete ,1626,Yes,SBrkr,1634,3,2007,Warranty Deed,Normal,250000
11426,OldTown,Single Family,1.5Fin,7,Poured Concrete ,1362,Yes,SBrkr,2082,3,2008,Warranty Deed,Normal,200000
11425,NAmes,Single Family,1Story,5,Cinder Block,1008,Yes,SBrkr,1008,2,2006,Warranty Deed,Normal,137000
11423,CollgCr,Single Family,1Story,8,Poured Concrete ,1581,Yes,SBrkr,1601,3,2010,Warranty Deed,Normal,272000
11414,Brookside,Single Family,2Story,7,Brick and Tile,728,No,SBrkr,2019,3,2009,Warranty Deed,Normal,167500
11409,Edwards,Single Family,1.5Fin,5,Cinder Block,768,Yes,SBrkr,1716,3,2009,Warranty Deed,Normal,131000
11404,CollgCr,Single Family,2Story,7,Poured Concrete ,1153,Yes,SBrkr,2031,3,2008,Warranty Deed,Normal,222500
11400,NoRidge,Single Family,1Story,10,Poured Concrete ,2633,Yes,SBrkr,2633,2,2007,Warranty Deed,Normal,466500
11394,Stony Brook,Single Family,1Story,9,Poured Concrete ,1856,Yes,SBrkr,1856,1,2010,New,Partial,394432
11367,CollgCr,Single Family,2Story,8,Poured Concrete ,1065,Yes,SBrkr,1989,3,2006,Warranty Deed,Normal,255000
11362,NridgHt,Single Family,1Story,8,Poured Concrete ,1836,Yes,SBrkr,1836,3,2009,Warranty Deed,Normal,280000
11361,NWAmes,Single Family,1Story,6,Cinder Block,1193,Yes,SBrkr,1523,3,2008,Contract,Force Closure,180000
11345,NAmes,Duplex,2Story,5,Cinder Block,928,Yes,FuseA,1920,4,2007,Warranty Deed,Normal,137000
11344,NAmes,Single Family,1.5Fin,5,Cinder Block,874,Yes,FuseA,1524,3,2007,Warranty Deed,Normal,144000
11341,Sawyer,Single Family,1Story,5,Cinder Block,1392,Yes,SBrkr,1392,3,2010,Warranty Deed,Normal,121500
11340,OldTown,Single Family,1Story,6,Brick and Tile,1200,Yes,FuseA,1200,4,2006,Warranty Deed,Within Family,125000
11340,OldTown,Two Family,2Story,4,Poured Concrete ,777,Yes,SBrkr,2290,4,2010,Warranty Deed,Normal,122500
11333,Mitchel,Single Family,SFlat,6,Poured Concrete ,1029,Yes,SBrkr,1062,3,2007,Warranty Deed,Normal,146800
11317,CollgCr,Single Family,2Story,7,Poured Concrete ,840,Yes,SBrkr,1668,3,2007,Warranty Deed,Normal,180000
11316,Timber,Single Family,2Story,7,Poured Concrete ,817,Yes,SBrkr,1894,4,2010,Warranty Deed,Normal,214900
11310,NAmes,Single Family,1Story,6,Cinder Block,1367,Yes,SBrkr,1375,2,2006,Warranty Deed,Normal,140000
11308,NridgHt,Single Family,2Story,9,Poured Concrete ,1104,Yes,SBrkr,2184,3,2009,Warranty Deed,Normal,335000
11302,Stony Brook,Single Family,1Story,8,Poured Concrete ,1814,Yes,SBrkr,1826,3,2006,New,Partial,319000
11287,SawyerW,Single Family,2Story,7,Cinder Block,807,Yes,SBrkr,1982,3,2007,Warranty Deed,Normal,228500
11275,NAmes,Single Family,SFlat,7,Cinder Block,710,Yes,SBrkr,2978,5,2010,Warranty Deed,Normal,242000
11275,Crawfor,Single Family,1.5Fin,6,Cinder Block,854,Yes,SBrkr,1991,3,2007,Warranty Deed,Normal,220000
11250,CollgCr,Single Family,2Story,7,Poured Concrete ,920,Yes,SBrkr,1786,3,2008,Warranty Deed,Normal,223500
11250,Veenker,Single Family,1Story,6,Cinder Block,1208,Yes,SBrkr,1208,3,2006,Warranty Deed,Normal,165000
11250,CollgCr,Single Family,2Story,8,Poured Concrete ,1128,Yes,SBrkr,2290,4,2008,Warranty Deed,Normal,255900
11250,Clear Creek,Single Family,1.5Fin,4,Cinder Block,1104,Yes,FuseA,1788,5,2009,Warranty Deed,Normal,161500
11249,CollgCr,Single Family,1Story,6,Poured Concrete ,1200,Yes,SBrkr,1200,3,2007,Warranty Deed,Normal,177500
11248,CollgCr,Single Family,1Story,9,Poured Concrete ,1626,Yes,SBrkr,1668,3,2007,Warranty Deed,Normal,285000
11241,NAmes,Single Family,1Story,6,Cinder Block,1004,Yes,SBrkr,1004,2,2010,Warranty Deed,Normal,149000
11235,Sawyer,Single Family,1Story,4,Cinder Block,1051,Yes,SBrkr,1382,3,2006,Warranty Deed,Normal,148000
11228,SawyerW,Single Family,2Story,7,Poured Concrete ,1080,Yes,SBrkr,2097,3,2008,Warranty Deed,Normal,228000
11218,SawyerW,Single Family,2Story,6,Poured Concrete ,1055,Yes,SBrkr,1845,3,2010,Warranty Deed,Normal,189000
11216,Somerst,Single Family,1Story,8,Poured Concrete ,1489,Yes,SBrkr,1489,3,2006,New,Partial,232600
11214,Gilbert,Single Family,2Story,7,Poured Concrete ,930,Yes,SBrkr,1886,4,2006,Warranty Deed,Normal,199900
11210,CollgCr,Single Family,1Story,7,Poured Concrete ,1614,Yes,SBrkr,1614,3,2006,New,Partial,221500
11207,Gilbert,Single Family,2Story,6,Poured Concrete ,802,Yes,SBrkr,1511,3,2006,Warranty Deed,Normal,185000
11200,Sawyer,Single Family,1Story,5,Cinder Block,1040,Yes,SBrkr,1040,3,2008,Warranty Deed,Normal,129500
11200,SawyerW,Single Family,1Story,6,Cinder Block,1298,Yes,SBrkr,1298,3,2006,Warranty Deed,Normal,180000
11198,Stony Brook,Single Family,2Story,9,Poured Concrete ,1122,Yes,SBrkr,2504,4,2008,Warranty Deed,Normal,325000
11194,Gilbert,Single Family,2Story,8,Poured Concrete ,1406,Yes,SBrkr,1936,3,2006,Warranty Deed,Normal,230500
11184,Sawyer,Single Family,2Story,6,Cinder Block,918,Yes,SBrkr,1683,3,2009,Warranty Deed,Normal,172500
11175,CollgCr,Single Family,1Story,7,Poured Concrete ,1316,Yes,SBrkr,1316,3,2007,New,Partial,200141
11170,Timber,Single Family,2Story,7,Wood,1216,Yes,SBrkr,2514,4,2006,Warranty Deed,Normal,250000
11160,NAmes,Single Family,1Story,7,Cinder Block,2110,Yes,SBrkr,2110,3,2010,Warranty Deed,Normal,244000
11146,NridgHt,Single Family,1Story,8,Poured Concrete ,1709,Yes,SBrkr,1717,3,2009,Warranty Deed,Normal,255500
11143,Somerst,Single Family,2Story,8,Poured Concrete ,1580,Yes,SBrkr,2466,4,2007,Warranty Deed,Normal,340000
11120,Veenker,Single Family,1Story,6,Poured Concrete ,1232,Yes,SBrkr,1232,3,2008,Warranty Deed,Normal,162500
11103,CollgCr,Single Family,2Story,7,Poured Concrete ,728,Yes,SBrkr,1456,3,2007,New,Partial,155835
11100,Edwards,Single Family,1Story,4,Cinder Block,0,Yes,SBrkr,930,2,2010,Warranty Deed,Force Closure,84900
11096,Somerst,Single Family,1Story,8,Poured Concrete ,1656,Yes,SBrkr,1656,3,2007,Warranty Deed,Normal,249700
11075,Mitchel,Single Family,2Story,5,Cinder Block,784,Yes,SBrkr,1968,4,2008,Warranty Deed,Normal,172000
11075,NAmes,Single Family,2Story,6,Cinder Block,952,Yes,SBrkr,2112,4,2008,Warranty Deed,Normal,206900
11070,Mitchel,Duplex,1Story,7,Cinder Block,1907,Yes,SBrkr,1959,5,2006,Warranty Deed,Within Family,171000
11065,NridgHt,Single Family,2Story,8,Poured Concrete ,1085,Yes,SBrkr,1970,3,2006,New,Partial,281000
11050,CollgCr,Single Family,2Story,9,Poured Concrete ,1440,Yes,SBrkr,2153,3,2009,Warranty Deed,Normal,313000
11049,CollgCr,Single Family,1Story,8,Poured Concrete ,1234,Yes,SBrkr,1234,3,2008,Warranty Deed,Normal,179900
11040,IDOTRR,Single Family,1.5Fin,4,Cinder Block,637,Yes,SBrkr,1336,3,2006,Contract,Normal,108000
11040,NWAmes,Single Family,1Story,6,Cinder Block,1258,Yes,SBrkr,1258,3,2008,Contract,Force Closure,145000
11029,NWAmes,Single Family,2Story,6,Cinder Block,1054,Yes,SBrkr,2654,4,2006,Warranty Deed,Normal,250000
11029,NAmes,Single Family,1Story,6,Cinder Block,1184,Yes,SBrkr,1414,3,2008,Warranty Deed,Normal,176500
11003,Somerst,Single Family,2Story,10,Poured Concrete ,1017,Yes,SBrkr,2007,3,2009,Warranty Deed,Normal,310000
11000,NoRidge,Single Family,2Story,8,Poured Concrete ,969,Yes,SBrkr,2285,4,2007,Warranty Deed,Normal,248000
